SPG21	[0.14832344 0.00042383]
CDGAP	[-0.0991489   0.01882706]
CCDC75	[-0.09908344  0.018906  ]
TAS2R1	[-0.09899596  0.01901196]
UBA52	[0.09898929 0.01902006]
GNPTG	[-0.09892377  0.01909978]
NCL	[0.09882368 0.01922214]
FCER1A	[-0.09880423  0.01924599]
ZNF18	[0.09873521 0.01933086]
SNX11	[-0.09871754  0.01935263]
IGLV2-14	[-0.09866641  0.01941577]
RPL4	[0.0986475  0.01943916]
EPHA7	[-0.09863999  0.01944846]
KBTBD8	[-0.09856206  0.01954517]
C1orf85	[-0.09851933  0.01959838]
MRPL27	[-0.09849637  0.01962702]
FUS	[0.09843356 0.01970557]
TMEM176B	[-0.09841718  0.01972609]
WDR73	[0.09836064 0.01979709]
C20orf69	[-0.09835693  0.01980176]
NPFF	[0.09832926 0.01983659]
PDE10A	[-0.0980819   0.02015038]
FBXO33	[-0.09806169  0.0201762 ]
ZNF391	[-0.09805393  0.02018613]
RP11-78J21.1	[0.09804533 0.02019713]
PPM1K	[-0.09800852  0.02024429]
PAAF1	[0.09799285 0.02026439]
MRPL48	[0.09795608 0.02031164]
ARFGAP1	[-0.09786575  0.0204281 ]
ID3	[-0.09784487  0.0204551 ]
CXCL13	[-0.09774326  0.02058696]
GPR84	[-0.09774278  0.02058757]
GPR15	[-0.09773257  0.02060086]
BRMS1	[0.09773045 0.02060363]
LPAL2	[-0.09763917  0.02072279]
EIF4B	[0.09761411 0.02075561]
RHOH	[-0.09752308  0.0208752 ]
C14orf65	[0.09738282 0.02106065]
NCF4	[-0.0973611   0.02108949]
NMNAT2	[-0.09734548  0.02111026]
C3orf44	[-0.09733373  0.02112589]
ZFP36L1	[0.0973107  0.02115656]
RABL4	[-0.09727717  0.02120128]
ECAT8	[0.0972139  0.02128589]
CST9L	[0.0971067  0.02142991]
TMEM119	[-0.09705405  0.02150095]
GIMAP1	[-0.09704008  0.02151984]
WDR64	[-0.09703813  0.02152247]
ROD1	[0.09703287 0.02152959]
MESDC2	[0.0969577 0.0216315]
YTHDF2	[0.09691582 0.02168845]
HSPA6	[-0.09691517  0.02168934]
PATE	[-0.09689523  0.0217165 ]
ZFP91	[0.09689197 0.02172094]
LOC440456	[-0.0968542   0.02177249]
ZSCAN2	[0.09684533 0.0217846 ]
SNUPN	[0.09684151 0.02178983]
ZNF479	[-0.09679616  0.02185191]
MGC10981	[0.09675235 0.02191201]
DDX23	[0.0967433  0.02192445]
C7orf13	[-0.0966735   0.02202056]
ZNF486	[0.09667179 0.02202292]
BANF1	[0.09666235 0.02203595]
TNFSF4	[-0.0966455   0.02205922]
C13orf8	[0.09658466 0.02214342]
EFTUD1	[0.09656509 0.02217057]
PPAP2B	[-0.09656155  0.02217549]
KCNMB1	[-0.09651646  0.02223814]
RNF214	[0.09630375 0.02253583]
PLEKHA8	[-0.09622917  0.02264102]
SCUBE2	[-0.09618466  0.02270399]
IL8RB	[-0.09613639  0.02277246]
FCRL3	[-0.0960947   0.02283175]
MARCH1	[-0.09604632  0.02290071]
TNFRSF1B	[-0.09598353  0.02299048]
C6orf64	[-0.09597234  0.02300652]
KIAA0515	[0.09592289 0.02307748]
AMY2A	[-0.09589832  0.0231128 ]
HNRNPA1	[0.09587159 0.02315128]
ALG8	[0.09586178 0.02316542]
PICALM	[0.09577394 0.02329234]
DKFZP586P0123	[0.0957432  0.02333691]
ZNF589	[0.09573827 0.02334406]
CSF3R	[-0.09564444  0.02348057]
PTGER4	[-0.09564024  0.02348669]
IL23R	[-0.09559916  0.02354669]
SMEK1	[0.09556878 0.02359115]
FGF5	[-0.09551728  0.02366667]
C16orf30	[-0.09551298  0.02367299]
GATA2	[-0.09549648  0.02369724]
MYO6	[-0.09549088  0.02370547]
PSMF1	[0.0954792  0.02372266]
VAMP5	[-0.09543534  0.02378727]
IGKC	[-0.09540466  0.02383256]
C9orf84	[-0.09539273  0.02385019]
TSPYL2	[0.09539001 0.02385422]
WBSCR28	[-0.09534707  0.02391778]
IL21R	[-0.09533039  0.0239425 ]
SNX9	[-0.09528476  0.02401027]
RAB2B	[-0.095258   0.0240501]
CST9	[0.0952093  0.02412272]
FPRL2	[-0.09517121  0.02417964]
LCP2	[-0.09516347  0.02419122]
CDCA2	[0.09515838 0.02419884]
PLEK	[-0.0950887   0.02430334]
LOC388969	[-0.0950778   0.02431974]
C1orf61	[-0.09498342  0.02446198]
SETD3	[0.09492659 0.024548  ]
PRKAG1	[0.09476437 0.02479494]
ANK3	[0.09475981 0.02480192]
SLCO3A1	[0.09475396 0.02481087]
PARK2	[-0.09474453  0.02482528]
IBSP	[0.0947217  0.02486026]
CAPN1	[0.09470116 0.02489174]
FZD1	[-0.09465012  0.02497014]
GPR125	[0.09461738 0.02502055]
PCCA	[0.09450573 0.02519311]
SLC17A1	[-0.09440889  0.0253436 ]
R3HDM1	[0.0944079  0.02534513]
DARS	[0.09435733 0.02542404]
CTHRC1	[-0.0943443   0.02544441]
SPATA5L1	[0.09429326 0.0255243 ]
UBE1	[0.09421441 0.02564817]
NUP214	[0.09419254 0.02568262]
RALBP1	[0.09404778 0.02591164]
TRAF6	[0.09404124 0.02592202]
SRPX	[-0.0940333   0.02593464]
GOSR2	[-0.09399875  0.02598961]
ACVRL1	[-0.09399528  0.02599512]
PRL	[-0.09397935  0.02602051]
MCRS1	[0.09391769 0.02611894]
SMAD2	[0.09390522 0.02613889]
GIMAP6	[-0.09386915  0.02619666]
TRIM28	[0.09383689 0.02624842]
RGS7	[-0.09374874  0.02639031]
FABP3	[0.09374662 0.02639374]
C9orf78	[0.0937109  0.02645143]
PKD2L2	[-0.0936898   0.02648556]
TEGT	[0.09364509 0.026558  ]
PRKG1	[-0.09362402  0.0265922 ]
GALNTL5	[-0.09357656  0.02666938]
NEFL	[-0.09354247  0.02672492]
KCNN3	[-0.0933939   0.02696818]
ZXDB	[0.09335258 0.02703618]
C11orf49	[0.09328694 0.02714449]
UNC45A	[0.09328476 0.02714809]
PRCP	[0.0932823  0.02715217]
OR4C13	[-0.09328067  0.02715485]
PRKACB	[-0.09326585  0.02717937]
MAP3K3	[-0.09322955  0.0272395 ]
SNFT	[-0.09321517  0.02726334]
MS4A2	[-0.09316628  0.02734458]
F2RL2	[-0.09309165  0.02746897]
KRT12	[0.09302496 0.02758052]
CARS2	[0.09299699 0.02762743]
IL10	[-0.09299641  0.02762841]
ERMP1	[0.09293768 0.02772713]
RAB3C	[-0.09290486  0.02778243]
EI24	[0.0928856  0.02781493]
HTRA3	[-0.09280558  0.02795029]
CTSL2	[0.09277567 0.02800104]
SELP	[-0.09277217  0.02800697]
INTS4	[0.09269971 0.02813025]
HMCN1	[-0.09267406  0.02817401]
CCNK	[0.09261099 0.02828183]
APOE	[-0.09258077  0.02833361]
ST8SIA4	[-0.09257136  0.02834975]
NOL5A	[0.0925593  0.02837046]
OS9	[0.09253269 0.02841618]
LOC442229	[-0.09253152  0.02841818]
OR3A1	[-0.09252067  0.02843686]
ASPN	[-0.09251502  0.02844656]
ELOVL4	[-0.09250585  0.02846236]
SEMA5B	[-0.09249845  0.02847509]
RRP1B	[0.09248627 0.02849609]
MSR1	[-0.09246647  0.02853023]
TLR10	[-0.09244754  0.0285629 ]
CUL4A	[0.09237919 0.02868116]
BTBD9	[-0.09237297  0.02869195]
S100A8	[-0.09230531  0.02880944]
C1orf152	[-0.0922975   0.02882304]
ASZ1	[-0.09229094  0.02883446]
TNRC5	[-0.09228232  0.02884948]
GDPD1	[-0.09228008  0.02885338]
MDGA1	[-0.09227815  0.02885674]
RAB39	[-0.09227474  0.02886268]
ZFYVE21	[0.09226569 0.02887845]
LRP1B	[0.09224629 0.02891229]
C1orf77	[-0.09223445  0.02893295]
DNAH8	[-0.09223376  0.02893415]
DNAJB14	[-0.0921964   0.02899947]
MAPRE3	[-0.09218758  0.0290149 ]
CCDC141	[-0.09210137  0.02916615]
C9orf45	[0.09208781 0.02919   ]
NPTX2	[-0.09207696  0.02920909]
C6orf156	[-0.09187531  0.02956595]
BTBD1	[0.09183403 0.02963947]
EIF2AK4	[0.0918076  0.02968662]
TCN2	[-0.09179579  0.02970771]
RIMBP2	[-0.09176791  0.02975754]
LOC116349	[-0.09173567  0.02981526]
DNAJB9	[-0.09170737  0.02986601]
SALL4	[-0.09170667  0.02986726]
ZNF587	[0.09166469 0.02994267]
SMCR7L	[0.09166279 0.02994609]
TFDP1	[0.09162605 0.03001224]
GPRC6A	[-0.0916109   0.03003954]
CD1B	[-0.09160378  0.03005239]
EIF5	[0.09160044 0.03005841]
SLC22A16	[-0.09159703  0.03006456]
BCCIP	[0.09157289 0.03010815]
DPAGT1	[0.09155761 0.03013578]
LOC155006	[-0.09154377  0.03016082]
RAP2B	[-0.09154371  0.03016092]
SIGLEC10	[-0.09152777  0.03018979]
UGT2A1	[-0.09144878  0.03033313]
GBP7	[-0.09142075  0.03038413]
MYST4	[0.09140877 0.03040597]
ANKRD42	[0.09138913 0.03044177]
SRPK3	[-0.09133424  0.03054202]
TAGAP	[-0.09132884  0.0305519 ]
TLR4	[-0.09130076  0.03060331]
DHRS2	[0.09129285 0.03061781]
CSN2	[-0.09129239  0.03061867]
GPR124	[-0.09124765  0.03070076]
LOH3CR2A	[0.09124713 0.03070173]
ALG9	[0.09123897 0.03071672]
RASGRP3	[-0.09122476  0.03074285]
EIF2S3	[0.0912172  0.03075675]
MGAM	[-0.09120736  0.03077486]
TECTB	[-0.09118558  0.03081499]
CD1E	[-0.09117698  0.03083085]
EEF2K	[0.09112255 0.03093135]
TGFBI	[-0.0911164   0.03094272]
C17orf57	[-0.09111134  0.03095208]
UGT3A1	[-0.09107428  0.03102073]
IKZF3	[-0.09103227  0.03109867]
SUCNR1	[-0.09099508  0.03116782]
FBXO18	[0.09097947 0.03119689]
AMPD1	[-0.09097723  0.03120107]
PCTP	[-0.09094898  0.03125373]
TAC1	[-0.09089518  0.03135423]
MFAP1	[0.09088883 0.03136612]
S100A9	[-0.09088371  0.0313757 ]
CHD2	[0.09087599 0.03139016]
ADCY8	[0.09082337 0.03148883]
SEC11A	[0.09081605 0.03150256]
DGKI	[-0.09074721  0.0316321 ]
CTSZ	[-0.09070827  0.03170557]
TMEM27	[0.09067207 0.031774  ]
ZNF8	[0.09060769 0.03189602]
ALK	[-0.09059681  0.03191668]
EVI2A	[-0.09057559  0.031957  ]
CYLC2	[-0.09055635  0.03199361]
GNL3	[0.09054855 0.03200846]
DIS3L	[0.09053034 0.03204315]
DLGAP3	[-0.09050151  0.03209812]
GBA	[-0.09047688  0.03214517]
INSIG1	[-0.09046053  0.03217642]
GCS1	[-0.09045121  0.03219426]
CAPRIN1	[0.09043164 0.03223172]
PTGFR	[-0.09038006  0.03233066]
TMEM156	[-0.09035759  0.03237382]
CCL5	[-0.09033027  0.03242639]
FIBP	[0.09023501 0.03261023]
TTC23	[0.09021304 0.03265275]
RANBP5	[0.09020552 0.03266732]
TAF5L	[-0.09020122  0.03267566]
SLC7A4	[-0.09018211  0.03271272]
GNRHR	[-0.09012234  0.03282882]
BIN3	[0.09011833 0.03283663]
KIAA1946	[-0.09004271  0.03298408]
SYT2	[0.09002061 0.03302728]
UPP1	[-0.09000699  0.03305391]
CRIP2	[0.08992096 0.03322266]
PCDHGC3	[-0.0899078   0.03324853]
ENPP1	[-0.08987335  0.03331634]
GALK1	[-0.08986254  0.03333765]
SMC2	[0.08985246 0.03335752]
AARS2	[-0.08984759  0.03336714]
SALL1	[-0.08979427  0.03347247]
PGBD4	[-0.08976863  0.03352323]
ETV5	[-0.08974906  0.03356201]
DUSP22	[-0.08970425  0.03365096]
ADAMTS5	[-0.08968606  0.03368712]
RPP38	[0.08967455 0.03371001]
KCTD20	[-0.08962801  0.03380276]
SYAP1	[0.08961242 0.03383385]
FNTA	[-0.08960604  0.03384659]
GFM1	[0.08954497 0.03396874]
ST3GAL5	[-0.08953522  0.03398828]
SPTLC3	[0.08951931 0.03402019]
NUMA1	[0.08948194 0.03409521]
USP53	[0.08946421 0.03413085]
C1orf38	[-0.08943825  0.0341831 ]
USP10	[0.08942439 0.03421103]
C6orf125	[-0.08936841  0.034324  ]
C10orf68	[-0.08931467  0.03443276]
C20orf152	[-0.08926813  0.03452717]
C11orf57	[0.08925682 0.03455017]
MKNK2	[0.08925639 0.03455103]
PARP15	[-0.08921658  0.03463203]
GMFG	[-0.08919292  0.03468024]
PRKD3	[-0.08918936  0.0346875 ]
RGAG4	[-0.0891461   0.03477581]
COPZ1	[0.08913741 0.03479357]
FAM106A	[-0.08911492  0.03483959]
ABCC4	[0.08911181 0.03484595]
RAB32	[-0.08908467  0.03490155]
BNIP3	[0.08908298 0.034905  ]
AP2M1	[0.08907563 0.03492007]
API5	[0.08901886 0.03503667]
SCG3	[-0.08899471  0.03508637]
ROR2	[-0.08896064  0.03515659]
MRRF	[0.08893523 0.03520904]
SRD5A2L2	[-0.08892898  0.03522196]
KCTD7	[-0.08892597  0.03522816]
PCBP2	[0.08887109 0.03534173]
TTN	[-0.0888414   0.03540329]
GPRC5C	[-0.0888273   0.03543256]
MRPL14	[-0.08879826  0.03549289]
TMEM149	[-0.08879287  0.0355041 ]
SUV420H1	[0.08875672 0.03557937]
RDX	[0.08875067 0.03559198]
TMEM169	[-0.08874975  0.03559389]
TAF3	[0.0887363  0.03562193]
NT5DC2	[0.08866718 0.03576638]
GKN2	[-0.08863734  0.03582888]
NDUFV1	[0.08860244 0.03590209]
TAS2R16	[-0.08858674  0.03593507]
CYP2C8	[-0.08855606  0.0359996 ]
MRGPRX1	[-0.08853556  0.03604276]
CCL18	[-0.08853486  0.03604425]
GLCCI1	[-0.08851684  0.03608223]
QKI	[-0.0885063   0.03610446]
NCF1	[-0.08848314  0.03615336]
LHFP	[-0.0884566   0.03620945]
TFEB	[-0.08843591  0.03625324]
ENDOD1	[0.08837192 0.03638894]
DHX38	[0.08834146 0.03645369]
DENND2A	[-0.08830767  0.03652562]
LOC201164	[0.08829449 0.03655373]
TSPAN3	[0.08825635 0.03663512]
C1orf14	[-0.08821713  0.03671899]
MED17	[0.08820797 0.0367386 ]
EDNRA	[-0.08819051  0.03677601]
TPK1	[-0.08813903  0.03688647]
ARHGAP20	[0.08813455 0.03689611]
BBS1	[0.08812747 0.03691133]
CHKA	[0.08810846 0.03695222]
ABCC10	[-0.08805228  0.03707328]
TJP2	[0.0880066  0.03717196]
C1QC	[-0.08798576  0.03721706]
ZFPL1	[0.08796912 0.0372531 ]
OR5D18	[-0.08794854  0.03729772]
ODF2	[0.08787658 0.03745408]
FAM96A	[0.08786472 0.03747991]
ZNF582	[-0.08785221  0.03750715]
SESN2	[-0.08782784  0.03756029]
MLX	[-0.08774115  0.03774987]
CDK5RAP2	[0.08772141 0.03779313]
BCL2A1	[-0.08771257  0.03781252]
COX7A1	[-0.08769319  0.03785509]
EHD1	[0.08765325 0.0379429 ]
SLC36A3	[-0.08760519  0.0380488 ]
EMR1	[-0.08759094  0.03808024]
C6orf129	[-0.08753034  0.03821422]
PIGU	[0.08751091 0.03825725]
CXCR6	[-0.08743836  0.03841834]
PTPRG	[-0.08734805  0.03861965]
ZADH1	[0.087328   0.03866447]
BTLA	[-0.08731827  0.03868624]
GREM1	[-0.08728817  0.03875361]
PKM2	[0.0872647  0.03880624]
PRKCD	[0.08725448 0.03882916]
CD1A	[-0.08725362  0.0388311 ]
SH2D1A	[-0.08725084  0.03883733]
NXF3	[0.08724575 0.03884876]
ATP6V0D2	[-0.08722887  0.03888669]
PER3	[0.0871995  0.03895273]
NEU1	[-0.08717912  0.03899862]
TARDBP	[0.08716713 0.03902562]
IGHM	[-0.08715176  0.03906028]
GLRA3	[-0.08714974  0.03906485]
FAM62A	[0.08711107 0.03915217]
FAM18B2	[-0.08703405  0.03932657]
CRYGS	[0.08701468 0.03937053]
DAZAP1	[0.08699461 0.03941614]
POLR2E	[0.08696805 0.03947653]
SYCP1	[-0.08696125  0.03949202]
RDH14	[-0.08693694  0.0395474 ]
VARS	[-0.08687538  0.03968793]
CSF2RB	[-0.08687215  0.03969532]
HSPC159	[-0.08686578  0.03970988]
CCR5	[-0.08686202  0.03971849]
AP3S2	[0.08682799 0.03979641]
MOG	[-0.08678822  0.03988764]
NT5C1B	[-0.08678286  0.03989993]
MGC34774	[-0.0867608   0.03995062]
CLMN	[0.08674617 0.03998427]
CAMK1	[-0.08667973  0.04013739]
CACNB4	[-0.08667584  0.04014635]
